TITLE: Bill of Materials
DATE: 12/23/2020
DESIGN: mrd104_microboard_apps_b
VARIANT:do_not_purchase


ITEM,QTY,REF DES,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,STATUS,EST_PRICE,COMMENTS
32,2,"R9, R10",80-0027R-95,ERJ-1GEF27R0C,PANASONIC,27,RES; SMT (0201); 27; 1%; +/-100PPM/DEGC; 0.0500W,ACTIVE,$0.1184, 
33,3,"R13, R19, R20",ER111000003379,ERJ-1GNF4701,PANASONIC,4.7K,RES; SMT (0201); 4.7K; 1%; +/-200PPM/DEGC; 0.0500W,EVKIT-NOT FOR TEST,$0.3000, 
34,1,R14,80-0010K-Q6,ERJ-2GEJ103,PANASONIC,10K,RES; SMT (0402); 10K; 5%; +/-200PPM/DEGC; 0.1000W,EVKIT-NOT FOR TEST,$0.0110, 
35,1,R15,ER111000002587,ERJ-2LWFR010,PANASONIC,0.01,RES; SMT (0402); 0.01; 1%; 0 TO +500PPM/DEGC; 0.2000W,EVKIT-NOT FOR TEST,$0.3900, 
36,4,"R16, R23-R25",80-003K3-95,ERJ-1GEF3301C,PANASONIC,3.3K,RES; SMT (0201); 3.3K; 1%; +/-100PPM/DEGC; 0.0500W,ACTIVE,$0.2368, 
37,3,"R22, R73, R74",80-0010K-AA89,ERJ-1GNJ103,PANASONIC,10K,RES; SMT (0201); 10K; 5%; +/-200PPM/DEGC; 0.0500W,EVKIT-NOT FOR TEST,$0.0000, 
38,27,"R26, R28, R29, R31-R36, R40-R42, R50, R51, R53-R59, R61, R62, R64, R72, R75, R78",80-0000R-95,CRCW02010000ZS;ERJ-1GN0R00,VISHAY DALE;PANASONIC,0,RES; SMT (0201); 0; 1%; JUMPER; 0.0500W,ACTIVE,$0.1080, 
39,1,R27,80-0001M-18,ERJ-2RKF1004,PANASONIC,1M,RES; SMT (0402); 1M; 1%; +/-100PPM/DEGC; 0.1000W,ACTIVE,$0.0100, 
40,1,R37,80-0010R-95,ERJ-1GEF10R0,PANASONIC,10,RES; SMT (0201); 10; 1%; +/-100PPM/DEGC; 0.0500W,ACTIVE,$0.0180, 
41,1,R43,80-004K7-23,CRCW04024K70FK;MCR01MZPF4701,VISHAY DALE;ROHM SEMICONDUCTOR,4.7K,RES; SMT (0402); 4.7K; 1%; +/-100PPM/DEGC; 0.0630W,ACTIVE,$0.0070, 
42,1,R44,80-0022R-Q6,ERJ-2GEJ220,PANASONIC,22,RES; SMT (0402); 22; 5%; +/-200PPM/DEGC; 0.1000W,EVKIT-NOT FOR TEST,$0.0700, 
43,7,"R45, R65-R68, R70, R71",80-0010K-23,CRCW040210K0FK;RC0402FR-0710KL,VISHAY DALE;YAGEO PHICOMP,10K,RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.0630W,ACTIVE,$0.0350, 
44,3,R46-R48,80-0001K-CA54,TNPW04021K00BE,VISHAY DALE,1K,RES; SMT (0402); 1K; 0.10%; +/-25PPM/DEGC; 0.1000W,ACTIVE,$0.6120, 
45,1,R69,80-0025K-BA64,PNM0402E2502BS,VISHAY DALE,25K,RES; SMT (0402); 25K; 0.10%; +/-25PPM/DEGK; 0.0500W,EVKIT-NOT FOR TEST,$1.0800, 
46,1,RT1,83-0010K-0AN,NCP03XH103J05,MURATA,10K,THERMISTOR; SMT (0201); 10K OHM; TOL=+/-5%,EVKIT-NOT FOR TEST,$0.2100, 
47,1,SW1,EH111000004113,434153017835	,WURTH ELECTRONICS INC,434153017835	,SWITCH; SPST; SMT; 12V; 0.05A;WS-TASV J-BEND TACT SWITCH; RCONTACT=0.1 OHM; RINSULATION=100M OHM,EVKIT-NOT FOR TEST,$0.5600, 
48,1,SW2,EH111000005105,EVP-AA102K,PANASONIC,EVP-AA102K,SWITCH; SPST; SMT; 15V; 0.02A; EVPAA SERIES WITH GROUND TERMINAL; LIGHT TOUCH SWITCH; RCONTACT=0.1 OHM; RINSULATION=100M OHM; WITH SPECIAL ASSEMBLY INSTRUCTIONS,EVKIT-NOT FOR TEST,$0.8500, 
49,1,U1,00-SAMPLE-01,MAX20360FEWZ+,MAXIM,MAX20360FEWZ+,EVKIT PART- IC; PMIC WITH ULTRA-LOW IQ REGULATORS; CHARGER; FUEL GAUGE; AND HAPTIC DRIVER FOR SMALL LI+ SYSTEM; PACKAGE OUTLINE DRAWING: 21-100373; WLP 72 PINS; 0.5MM PITCH; PKG. CODE: W724A4+1,EVKIT-CUSTOM,$0.0000, 
50,1,U2,00-SAMPLE-02,MAX32674CGWGZ+,MAXIM,MAX32674CGWGZ+,EVKIT PART - IC; MAX32674CGWGZ+; PACKAGE OUTLINE DRAWING: 21-100151; PACKAGE CODE: W241H2+1; WLP24,EVKIT-CUSTOM,$0.0000,CONTACT WITH MAXIM CUSTOMER SERVICE BEFORE ORDERING THIS PART
51,1,U3,EQ111000004114,MX25U51245GZ4I54,MACRONIX INTERNATIONAL CO LTD,MX25U51245GZ4I54,IC; MMRY; CMOS MXSMIO; SERIAL MULTI I/O; FLASH MEMORY; WSON8-EP,ACTIVE,$7.8100, 
52,1,U5,10-MAX32666GXMBT-B,MAX32666GXMBT+,MAXIM,MAX32666GXMBT+,IC; UCON; LOW-POWER ARM CORTEX-M4 WITH FPU-BASED; MICROCONTROLLER WITH BLUETOOTH 5 FOR WEARABLES; BGA121,ACTIVE,$0.0000, 
53,2,"U6, U7",10-MAX9062EBSG45-B,MAX9062EBS+G45,MAXIM,MAX9062EBS+G45,IC; COMP; ULTRA-SMALL; LOW-POWER SINGLE COMPARATOR; UCSP4,EVKIT-NOT FOR TEST,$0.0000, 
54,1,U8,10-MAX3207EAUT-U,MAX3207EAUT+,MAXIM,MAX3207EAUT+,"IC; PROT; DUAL, QUAD, AND HEX HIGH-SPEED DIFFERENTIAL ESD-PROTECTION IC; SOT23-6",ACTIVE,$0.0601, 
55,2,"U9, U10",10-MAX4737EBE-B,MAX4737EBE+,MAXIM,MAX4737EBE+,IC; ASW; 4.5OHM QUAD SPST ANALOG SWITCH IN UCSP; 2X2; UCSP16,ACTIVE,$3.5000, 
56,1,U11,10-MAX14689EWL-W,MAX14689EWL+,MAXIM,MAX14689EWL+,IC; ASW; ULTRA-SMALL LOW-RON BEYOND-THE-RAILS DPDT ANALOG SWITCHES; WLP9,EVKIT-NOT FOR TEST,$0.0000, 
57,1,Y1,60-32K76-0AL,ABS07-32.768KHZ-6-T,ABRACON,32.768KHZ,CRYSTAL; SMT; 6PF; 32.768KHZ; +/-20PPM; -0.036PPM/T2,ACTIVE,$1.0400, 
58,1,Y2,60-0032M-0EW,FA-20H 32.0000MF12Y-W3,EPSON,32MHZ,CRYSTAL; SMT 2.5MMX2MM; 32MHZ; +/-10PPM; +/-12PPM,ACTIVE,$0.6900, 
59,1,Y3,60-32K76-0ET,CM1610H32768DZB,CITIZEN,32.7680KHZ,CRYSTAL; SMT 1.6MMX1MM; 6PF; 32.7680KHZ; +/-20PPM,EVKIT-NOT FOR TEST,$1.2000, 
TOTAL,150,,,,,,,,$41.00


PACKOUT (These are purchased parts but not assembled on PCB and will be shipped with PCB)
ITEM,QTY,REF DES,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,STATUS,EST_PRICE,COMMENTS
TOTAL,0,,,,,,,,$0.00

TOTAL,150,,,,,,,,$41.0
